Word,Count
something,2
\part,\,2
boolean,2
Cursor,2
cursors,2
org.eclipse.debug.core.model.IDebugElement#getDebugTarget(),2
false);,2
write,2
editor,2
ordering,2
manager,2
MDT,2
down),2
also,2
either,2
buffer,2
forthFile,2
Thread.sleep(200);,2
debugging,2
checks,2
received,2
\Google,\,2
LineListener},2
single,2
Device,2
(container.getType(),2
org.eclipse.debug.core.model.IStep#canStepInto(),2
Contains,2
\at,\,2
resulting,2
org.eclipse.debug.core.model.IStep#canStepOver(),2
folder,2
unique,2
then,2
Calls,2
==,2
java.lang.Object),2
shell,2
resume,2
parsing,2
instruction,2
participant,2
pass,2
byte,2
correctly,2
containing,2
important,2
configuration,2
device,2
(Exception,2
cleanup,2
another,2
Shuts,2
abort,2
Thread((),2
Windows,2
(warning:,2
invalid,2
communicate,2
encoded,2
written,2
who,2
\"\debug"\\,2
Starts,2
e),2
c,2
Default,2
variables,2
_function,2
!debug;,2
flag,2
internal,2
place,2
gets,2
org.eclipse.debug.core.model.IThread#hasStackFrames(),1
\#startGforth(ILaunch,\,1
ForthCommandQueue.NL);,1
currentLine,1
Updates,1
polling,1
org.eclipse.debug.core.model.IDisconnect#disconnect(),1
org.eclipse.debug.core.model.IDebugTarget#getThreads(),1
end,1
Holds,1
org.eclipse.debug.ui.IValueDetailListener),1
java.lang.Class),1
\dump,\,1
org.eclipse.debug.core.model.IDebugElement#getModelIdentifier(),1
(for,1
outputed,1
register,1
org.eclipse.jface.viewers.ILabelProvider#getImage(java.lang.Object),1
\org.eclipse.debug.ui.actions.IToggleBreakpointsTarget#canToggleWatchpoints(org.eclipse.ui.IWorkbenchPart,\,1
Application,1
org.eclipse.debug.core.model.IDisconnect#canDisconnect(),1
\fonts,\,1
dummy,1
Dialog,1
apply,1
org.eclipse.debug.core.IBreakpointListener#breakpointChanged(org.eclipse,1
org.eclipse.debug.core.model.IStackFrame#hasVariables(),1
breakpoint's,1
5,1
because,1
callees,1
stepping,1
\project,\,1
communcator,1
\too,\,1
<code>TERMINATE</code>,1
\breakpoint,\,1
cells,1
save,1
0-based,1
Determine,1
\loader.replace("\$DEBUG_INCLUDE"\,\,1
stack),1
org.eclipse.debug.core.model.IStackFrame#getVariables(),1
over,1
ILaunchShortcut,1
b,1
//$NON-NLS-2$,1
ResourcesPlugin.getWorkspace().getRoot().findMember(new,1
Factory,1
threaded,1
Windows-specific,1
WaitForResult},1
\hit,\,1
ended,1
\started,\,1
(buildLocationResource,1
restore,1
than,1
(String,1
org.eclipse.debug.core.model.IVariable#getName(),1
Image}'s,1
\waiting,\,1
Path(path));,1
jumping,1
IResource},1
writing,1
\org.eclipse.debug.ui.IDebugModelPresentation#computeDetail(org.eclipse.debug.core.model.IValue,\,1
2011,1
Internal,1
some,1
org.eclipse.debug.core.model.IValueModification#setValue(org.eclipse.debug.core.model.IValue),1
Unique,1
<L>,1
?,1
passes,1
\workspace,\,1
\res.delete(true,\,1
org.eclipse.core.resources.IProjectNature#getProject(),1
Stops,1
\height,\,1
(how,1
(i.e,1
Class,1
events,1
parentShell,1
accepts,1
addresses,1
other,1
messages,1
threads,1
#getSelectedDevice()},1
org.eclipse.core.runtime.IAdapterFactory#getAdapterList(),1
button,1
ch.fhnw.mdt.forthdebugger.ForthThread#jump(),1
Executable,1
#getOutputStream()},1
IMPORTANT,1
replacement,1
searched,1
otherwise,1
really,1
editorInput,1
managing,1
red,1
such,1
(!res.equals(buildLocationResource)),1
CommandTimedOutListener},1
Environment,1
mappings,1
defintion,1
IFile)},1
IContainer,1
\"\uCore>\,1
int,1
contain,1
org.eclipse.debug.core.IBreakpointListener#breakpointRemoved(org.eclipse,1
determine,1
stores,1
container,1
.action.IToolBarManager),1
10,1
\System.out.println("\==="\);\,1
needs,1
org.eclipse.debug.internal.core.sourcelookup.ISourceLookupDirector#initializeParticipants(),1
\ProjectSourceContainer((IProject)container,\,1
widgets.Composite),1
flags,1
ch.fhnw.mdt.forthdebugger.debugmodel.extensions.IJumpExtension#canJump(),1
waited,1
org.eclipse.debug.core.model.IVariable#getReferenceTypeName(),1
(path,1
